iter	Logloss
0	0.6898088862
1	0.6853690787
2	0.6814223504
3	0.6763786856
4	0.6732322667
5	0.6693704494
6	0.6649135111
7	0.6609336643
8	0.6571249369
9	0.6521268594
10	0.6485154783
11	0.6440567425
12	0.6409554242
13	0.6370790695
14	0.632911669
15	0.6288988063
16	0.6246822767
17	0.6210249852
18	0.617711566
19	0.6142226231
20	0.6108660948
21	0.607899006
22	0.6041681506
23	0.6004285121
24	0.5971335893
25	0.5940128979
26	0.591166096
27	0.5879649825
28	0.584689075
29	0.5819117964
30	0.5793140256
31	0.5760773074
32	0.5731599278
33	0.5705783064
34	0.5678208966
35	0.5648589784
36	0.5621162187
37	0.559331128
38	0.5558362093
39	0.5525219523
40	0.5497029214
41	0.5470521797
42	0.5445999015
43	0.5424805888
44	0.5399165392
45	0.5371455049
46	0.5344518148
47	0.5320200938
48	0.5289156635
49	0.5262673256
50	0.5240855032
51	0.5211287845
52	0.5191169652
53	0.5168230896
54	0.5154838165
55	0.5130366495
56	0.511115402
57	0.5087386726
58	0.5069181883
59	0.5049462241
60	0.5027726724
61	0.5005806618
62	0.497880588
63	0.4962308742
64	0.4942047905
65	0.49207304
66	0.489763195
67	0.4874340641
68	0.4844804971
69	0.4828460845
70	0.4813625467
71	0.4791489765
72	0.4771792091
73	0.4747926742
74	0.4731792306
75	0.4708872509
76	0.4695206934
77	0.467276327
78	0.4655665073
79	0.4644254562
80	0.4624995527
81	0.460489449
82	0.458802062
83	0.457675398
84	0.456490021
85	0.4546867855
86	0.4529927463
87	0.4512152318
88	0.4501068459
89	0.4486958274
90	0.4471736659
91	0.445675215
92	0.4437755977
93	0.4422378611
94	0.440697865
95	0.4397247734
96	0.4380853186
97	0.4361638181
98	0.4350255551
99	0.433755833
100	0.4320669006
101	0.4309873561
102	0.4303322972
103	0.428693911
104	0.4274878309
105	0.4257916294
106	0.4240817192
107	0.4229556099
108	0.4215055234
109	0.4204631814
110	0.4192582172
111	0.4183405802
112	0.4169983222
113	0.4160549824
114	0.4146219927
115	0.4134810407
116	0.4122483234
117	0.4106994057
118	0.409306285
119	0.4085226839
120	0.4075336996
121	0.4066146317
122	0.4056911293
123	0.4051207747
124	0.4042131047
125	0.4034002893
126	0.4021703067
127	0.4011475226
128	0.4001100706
129	0.3994573658
130	0.3983934639
131	0.3973755717
132	0.396404326
133	0.395140315
134	0.3937493737
135	0.392645721
136	0.3917370121
137	0.3902857388
138	0.3896787035
139	0.388473279
140	0.3875346384
141	0.3865835454
142	0.3856282712
143	0.384804408
144	0.3840800186
145	0.3832089973
146	0.3823698522
147	0.38158171
148	0.3807636052
149	0.3802535713
150	0.379341973
151	0.3784161658
152	0.3775787455
153	0.376807261
154	0.3760037119
155	0.3750603687
156	0.3738786566
157	0.3728448249
158	0.3717203885
159	0.3707895994
160	0.3699928457
161	0.3691070839
162	0.3683464609
163	0.3676330242
164	0.367134537
165	0.366340026
166	0.3655964501
167	0.3649929807
168	0.3640739431
169	0.3632213362
170	0.3625504625
171	0.361670123
172	0.3610852835
173	0.3603279618
174	0.3595641576
175	0.358766743
176	0.3578065718
177	0.3566477376
178	0.3554664403
179	0.3549493196
180	0.3545317346
181	0.3536629414
182	0.3532232422
183	0.3524271912
184	0.3518309306
185	0.3512827486
186	0.3504531274
187	0.3497933797
188	0.3492221741
189	0.3485008885
190	0.3479966396
191	0.3476385575
192	0.3467939073
193	0.3464409577
194	0.3457569116
195	0.3452905779
196	0.34437616
197	0.3436025104
198	0.3432239447
199	0.3427436008
200	0.3419542495
201	0.3413079804
202	0.3409193127
203	0.3401705226
204	0.3394354074
205	0.3386690527
206	0.3379324493
207	0.3373550768
208	0.336769664
209	0.3358802778
210	0.3354054954
211	0.3346697126
212	0.3341526665
213	0.3336660684
214	0.3332188826
215	0.3325399394
216	0.3321086817
217	0.3314810428
218	0.3309829806
219	0.3302818259
220	0.3298351017
221	0.3295814133
222	0.328802184
223	0.3283335707
224	0.3277318643
225	0.3268836976
226	0.3264279753
227	0.3258037796
228	0.3255023025
229	0.3250318503
230	0.3244110217
231	0.3240088527
232	0.3235264955
233	0.322840349
234	0.3223094292
235	0.3218167487
236	0.3215101385
237	0.3210630125
238	0.3204655587
239	0.3199913738
240	0.3194486632
241	0.3189099096
242	0.3186562318
243	0.3183713827
244	0.317895361
245	0.3172091543
246	0.3165980092
247	0.3161689436
248	0.3158613917
249	0.3151974197
250	0.3147818113
251	0.3143282952
252	0.3141699811
253	0.3137297105
254	0.3134737213
255	0.3129160083
256	0.3125899898
257	0.3122909922
258	0.3118644023
259	0.3116776083
260	0.3111175207
261	0.3105625917
262	0.3100185503
263	0.309604176
264	0.3091812972
265	0.3087009152
266	0.3081483539
267	0.3078437708
268	0.3076115085
269	0.3072761065
270	0.3069114037
271	0.3066882833
272	0.305988414
273	0.3055705977
274	0.3049234976
275	0.3043730063
276	0.3039148922
277	0.3034500212
278	0.3031602742
279	0.3027584347
280	0.3022737214
281	0.302065315
282	0.3016038259
283	0.3012777676
284	0.3009920036
285	0.3006812913
286	0.3003046129
287	0.2999934789
288	0.2996242068
289	0.2990968843
290	0.2989016769
291	0.2982784013
292	0.2981273033
293	0.2975774636
294	0.2973505522
295	0.2969376526
296	0.2964803223
297	0.2960306661
298	0.2957466434
299	0.2951418181
300	0.2947527682
301	0.2944394459
302	0.2940193203
303	0.2938434339
304	0.2934534104
305	0.2930021013
306	0.2924229417
307	0.2922358138
308	0.2919111973
309	0.2917362923
310	0.2912722255
311	0.2910691091
312	0.290642784
313	0.2902822452
314	0.2898573777
315	0.2894941677
316	0.2893215065
317	0.2891533998
318	0.2889456046
319	0.2885417568
320	0.2883755388
321	0.2881569489
322	0.2880347851
323	0.2876176585
324	0.2872675234
325	0.2869431107
326	0.2867035946
327	0.2861119887
328	0.2856864549
329	0.2853016516
330	0.2851505061
331	0.2846719349
332	0.2844713571
333	0.284322597
334	0.2841368472
335	0.283650744
336	0.283308519
337	0.2830656402
338	0.2828010984
339	0.2821970411
340	0.2819798607
341	0.2819559258
342	0.2816481772
343	0.2813655502
344	0.2811455094
345	0.2808430671
346	0.2805641937
347	0.2803995028
348	0.28003821
349	0.2797123497
350	0.2795428278
351	0.2794040738
352	0.2791103662
353	0.2786378288
354	0.2784986244
355	0.2782718116
356	0.2782021075
357	0.2778906307
358	0.2775063335
359	0.2774478864
360	0.27714366
361	0.2768793543
362	0.2765522128
363	0.2763073111
364	0.2760854392
365	0.2756645198
366	0.2754577475
367	0.2750760651
368	0.2747978146
369	0.2743378628
370	0.2741937682
371	0.2738813477
372	0.2735136688
373	0.2730677451
374	0.2727997532
375	0.272365955
376	0.2719556572
377	0.2717192378
378	0.271365389
379	0.2709304881
380	0.270541307
381	0.2701417296
382	0.2699288216
383	0.269726903
384	0.269597372
385	0.2693409575
386	0.2690619294
387	0.2688515241
388	0.2686667833
389	0.2683391868
390	0.268238071
391	0.2679933082
392	0.2676880285
393	0.2673166179
394	0.2672315511
395	0.2670304514
396	0.266666348
397	0.2664461003
398	0.2663626295
399	0.2661427422
400	0.2659737903
401	0.2653628162
402	0.2649876161
403	0.2646777294
404	0.2643347233
405	0.2640207665
406	0.2635789308
407	0.263313512
408	0.263071724
409	0.2627239552
410	0.2624699163
411	0.2623230351
412	0.2621087782
413	0.2617858782
414	0.2614447626
415	0.2611169337
416	0.2609087676
417	0.2607981574
418	0.2606751671
419	0.2605371306
420	0.2600561317
421	0.2599500811
422	0.2599261142
423	0.2596389972
424	0.2593832385
425	0.2589584596
426	0.2588728632
427	0.2588090503
428	0.2585119014
429	0.2583124735
430	0.2581013445
431	0.2579682448
432	0.257608572
433	0.257284812
434	0.2572111796
435	0.2569817063
436	0.2568092591
437	0.2565660275
438	0.2563557449
439	0.2560983889
440	0.2557967448
441	0.2556496287
442	0.2555142976
443	0.255333657
444	0.2551125329
445	0.2549343183
446	0.2545810069
447	0.254408269
448	0.2541765855
449	0.253762859
450	0.2537044022
451	0.2533891948
452	0.2531376446
453	0.2527399658
454	0.2525417975
455	0.252433755
456	0.2523682926
457	0.2522257084
458	0.2518211224
459	0.2515646669
460	0.2513868438
461	0.2511159482
462	0.2508028385
463	0.2505348292
464	0.250255235
465	0.2499544173
466	0.2497799242
467	0.2495623933
468	0.2491491864
469	0.2488065922
470	0.2484831676
471	0.2482898809
472	0.2479837257
473	0.2478060813
474	0.2476956217
475	0.2475093374
476	0.2473335279
477	0.2472757889
478	0.2470363626
479	0.2469323178
480	0.2468142178
481	0.2466786908
482	0.2464546365
483	0.2462164313
484	0.2460515884
485	0.2458210236
486	0.2455237502
487	0.245278305
488	0.2450381628
489	0.2448388118
490	0.2446268485
491	0.244299914
492	0.2441161499
493	0.2436567375
494	0.2436097214
495	0.2435030706
496	0.2432390389
497	0.2430429995
498	0.2427755801
499	0.2426451088
500	0.2424667317
501	0.2421912567
502	0.2419911071
503	0.2417623139
504	0.2416859979
505	0.2414523747
506	0.241301766
507	0.2408697951
508	0.2407828383
509	0.2406231945
510	0.2402726003
511	0.2400742717
512	0.2398487642
513	0.2395448432
514	0.2392229647
515	0.2389395819
516	0.2386147402
517	0.2384479761
518	0.2381738561
519	0.2378679964
520	0.2377007522
521	0.2375213639
522	0.2373337982
523	0.2371741639
524	0.236926416
525	0.2368929725
526	0.2367929376
527	0.2365386867
528	0.2364160539
529	0.2363597109
530	0.236219129
531	0.2361435678
532	0.2358358776
533	0.2357152408
534	0.2356314242
535	0.2353855303
536	0.2353501563
537	0.2352165475
538	0.2351227343
539	0.234954771
540	0.2348559207
541	0.2346193264
542	0.2343321199
543	0.2340835751
544	0.2339936614
545	0.23383908
546	0.2335786215
547	0.2335133751
548	0.2331958226
549	0.2330335538
550	0.2329026179
551	0.2327085077
552	0.2325623591
553	0.2324048928
554	0.2320728268
555	0.2318463852
556	0.2316957224
557	0.2315492791
558	0.2313911381
559	0.2311344806
560	0.2310891505
561	0.2309752408
562	0.2307590232
563	0.2306127256
564	0.2305771141
565	0.2304114225
566	0.2303632923
567	0.2302118336
568	0.2301657901
569	0.2299852986
570	0.2297599236
571	0.2296088476
572	0.2294525741
573	0.2293558697
574	0.2292089051
575	0.228954799
576	0.2287224436
577	0.2284438971
578	0.2283363782
579	0.2281061449
580	0.2278564758
581	0.2277599895
582	0.2274996838
583	0.2273656354
584	0.2271193911
585	0.2270073634
586	0.2268454068
587	0.2266798218
588	0.2265316725
589	0.2263260794
590	0.2263098602
591	0.2261107162
592	0.2257510182
593	0.2256611381
594	0.2255136541
595	0.2253770894
596	0.2252055219
597	0.2250340549
598	0.224865194
599	0.2247053641
600	0.2245758288
601	0.2245386259
602	0.2244059581
603	0.2243268731
604	0.2242146119
605	0.2240847904
606	0.2239382232
607	0.223764116
608	0.2236283295
609	0.2235637091
610	0.2233736516
611	0.2233315332
612	0.2230931831
613	0.2228939277
614	0.2227163537
615	0.2225026023
616	0.2224467676
617	0.2221986837
618	0.2220927966
619	0.2218592091
620	0.2216268701
621	0.2214383015
622	0.2213919452
623	0.2212813479
624	0.2211855209
625	0.2210176625
626	0.2208352705
627	0.2206036625
628	0.2205644603
629	0.2202924199
630	0.2200558634
631	0.2198500889
632	0.2197151744
633	0.2196175552
634	0.2195596061
635	0.2193918087
636	0.2190201879
637	0.2188899444
638	0.218735133
639	0.2186771107
640	0.2186094277
641	0.2183918613
642	0.2181480727
643	0.2179622135
644	0.2177679129
645	0.2175549868
646	0.217241368
647	0.2170533569
648	0.2169681502
649	0.2167601827
650	0.2165809747
651	0.2164049757
652	0.2161775121
653	0.2160227684
654	0.2159357422
655	0.2157566834
656	0.2155567046
657	0.2154122283
658	0.2152530398
659	0.2150556738
660	0.2149245375
661	0.2148354513
662	0.2147059405
663	0.2145548363
664	0.2143189425
665	0.2140081974
666	0.2138092973
667	0.213652357
668	0.2134865983
669	0.2133410371
670	0.2132460668
671	0.2130626856
672	0.2128362571
673	0.21262926
674	0.2124445592
675	0.2123687979
676	0.2122942288
677	0.2122324088
678	0.2121555273
679	0.2120201293
680	0.2118914154
681	0.2117499242
682	0.2117118025
683	0.2116281561
684	0.2115404195
685	0.2114156826
686	0.2112602518
687	0.2112548483
688	0.2111673229
689	0.2109278684
690	0.2107614243
691	0.210609394
692	0.2105290855
693	0.2103982525
694	0.2101435949
695	0.2099366882
696	0.2098526371
697	0.209682191
698	0.2095265611
699	0.2094106862
700	0.2091680505
701	0.2090170851
702	0.2087904059
703	0.2087707757
704	0.2085047276
705	0.2083574026
706	0.2081590329
707	0.2078642378
708	0.207700925
709	0.2075040374
710	0.2073174581
711	0.2071442142
712	0.2070198456
713	0.2068704683
714	0.2066124267
715	0.2064870889
716	0.2064502649
717	0.2062740528
718	0.2061351708
719	0.2060104587
720	0.2058597267
721	0.2056864884
722	0.2055074822
723	0.2054246948
724	0.2053522474
725	0.2052883458
726	0.2050998121
727	0.205030803
728	0.2049279438
729	0.2048308752
730	0.2047460147
731	0.2046296877
732	0.2045638319
733	0.2044811388
734	0.2042718052
735	0.2039934175
736	0.2037998972
